"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-01-17,"TRAVEL_ADVISORY","Travel Advisory.pdf",1,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-01-25,"TRAVEL_ADVISORY","Travel Advisory.pdf",1,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-02-05,"TRAVEL_ADVISORY","Travel Advisory.pdf",1,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-02-26,"TRAVEL_ADVISORY","Travel Advisory.pdf",1,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-03-02,"TRAVEL_ADVISORY","Travel Advisory.pdf",1,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-03-05,"CITIZENS","Advisory - Mass Gatherings.pdf",1,"Advisory - Mass Gatherings","CITIZENS","CITIZENS",4
2020-03-05,"TRAVEL_ADVISORY"," Travel Advisory.pdf",1," Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-03-05,"TRAVEL_ADVISORY","Travel Advisory.pdf",2,"Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-03-06,"AWARENESS"," Do's and Don't Poster in English.pdf",1," Do's and Don't Poster in English","AWARENESS","AWARENESS",6
2020-03-06,"AWARENESS"," Do's and Don't Poster in Hindi.pdf",2," Do's and Don't Poster in Hindi","AWARENESS","AWARENESS",6
2020-03-06,"EMPLOYEES"," Advisory for Exemption to mark biometric attendance in AEBAS.pdf",1," Advisory for Exemption to mark biometric attendance in AEBAS","EMPLOYEES","OTHERS",9
2020-03-06,"TRAVEL_ADVISORY"," Travel Advisory.pdf",1," Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",2
2020-03-09,"AWARENESS"," KIDS, VAAYU & CORONA -Comic book for children to provide correct information about COVID-19.pdf",1," KIDS, VAAYU & CORONA -Comic book for children to provide correct information about COVID-19","AWARENESS","AWARENESS",14
2020-03-10,"TRAVEL_ADVISORY"," Additional Travel Advisory.pdf",1," Additional Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",3
2020-03-10,"TRAVEL_ADVISORY"," Standard Operating Procedure (SOP) for COVID-19 Management- International Cruise Ships at major Indian Ports.pdf",2," Standard Operating Procedure (SOP) for COVID-19 Management- International Cruise Ships at major Indian Ports","TRAVEL_ADVISORY","TRAVEL_ADVISORY",14
2020-03-10,"TRAVEL_ADVISORY"," Travel Advisory (Home Isolation).pdf",3," Travel Advisory (Home Isolation)","TRAVEL_ADVISORY","TRAVEL_ADVISORY",4
2020-03-11,"CITIZENS","Guidelines for home quarantine.pdf",1,"Guidelines for home quarantine","CITIZENS","CITIZENS",4
2020-03-11,"TRAVEL_ADVISORY"," Consolidated Travel Advisory - 11 March 2020.pdf",1," Consolidated Travel Advisory - 11 March 2020","TRAVEL_ADVISORY","TRAVEL_ADVISORY",7
2020-03-11,"TRAVEL_ADVISORY"," Decisions- High level Group of Ministers meeting to review current status and actions for prevention and management of COVID-19.pdf",2," Decisions- High level Group of Ministers meeting to review current status and actions for prevention and management of COVID-19","TRAVEL_ADVISORY","TRAVEL_ADVISORY",19
2020-03-11,"TRAVEL_ADVISORY"," Visa restrictions issued by Bureau of Immigration (BOI) after meeting of GoM on COVID19 - 11 March 2020.pdf",3," Visa restrictions issued by Bureau of Immigration (BOI) after meeting of GoM on COVID19 - 11 March 2020","TRAVEL_ADVISORY","TRAVEL_ADVISORY",18
2020-03-13,"TRAVEL_ADVISORY"," Restrictions on International passenger traffic through land check posts-COVID 19.pdf",1," Restrictions on International passenger traffic through land check posts-COVID 19","TRAVEL_ADVISORY","TRAVEL_ADVISORY",10
2020-03-14,"TRAVEL_ADVISORY"," Restrictions on International passenger traffic through Land Check Posts.pdf",1," Restrictions on International passenger traffic through Land Check Posts","TRAVEL_ADVISORY","TRAVEL_ADVISORY",9
2020-03-16,"CITIZENS","Advisory - Social Distancing.pdf",1,"Advisory - Social Distancing","CITIZENS","CITIZENS",4
2020-03-16,"TRAVEL_ADVISORY"," Additional Travel Advisory.pdf",1," Additional Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",3
2020-03-17,"TRAVEL_ADVISORY"," Additional Travel Advisory.pdf",1," Additional Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",3
2020-03-18,"EMPLOYEES"," DO Letter from Secretary, DoHFW to State Chief Secretaries regarding Social Distancing Measures.pdf",1," DO Letter from Secretary, DoHFW to State Chief Secretaries regarding Social Distancing Measures","EMPLOYEES","OTHERS",13
2020-03-18,"EMPLOYEES"," DoPT OM - Preventive measures to be taken to contain the spread of Novel Coronavirus (COVID-19).pdf",2," DoPT OM - Preventive measures to be taken to contain the spread of Novel Coronavirus (COVID-19)","EMPLOYEES","OTHERS",16
2020-03-18,"OFFICIAL"," Directives from MoHRD for all Educational Institutions and Examination Boards regarding precautions to be taken in light of COVID-19.pdf",1," Directives from MoHRD for all Educational Institutions and Examination Boards regarding precautions to be taken in light of COVID-19","OFFICIAL","OFFICIAL",19
2020-03-18,"OFFICIAL"," DO Letter from Secretary, DoHFW to State Chief Secretaries regarding Social Distancing Measures.pdf",2," DO Letter from Secretary, DoHFW to State Chief Secretaries regarding Social Distancing Measures","OFFICIAL","OFFICIAL",13
2020-03-18,"OFFICIAL"," DoPT OM - Preventive measures to be taken to contain the spread of Novel Coronavirus (COVID-19).pdf",3," DoPT OM - Preventive measures to be taken to contain the spread of Novel Coronavirus (COVID-19)","OFFICIAL","OFFICIAL",16
2020-03-18,"OFFICIAL"," Letter from Department of Food & Public Distribution regarding Hand Sanitizer Production and Availability.pdf",4," Letter from Department of Food & Public Distribution regarding Hand Sanitizer Production and Availability","OFFICIAL","OFFICIAL",14
2020-03-18,"OFFICIAL"," Monitoring of the quality standards of hand Sanitizers.pdf",5," Monitoring of the quality standards of hand Sanitizers","OFFICIAL","OFFICIAL",8
2020-03-18,"TRAVEL_ADVISORY"," Standard Operating Procedure for Passenger Movement post Disembarkation.pdf",1," Standard Operating Procedure for Passenger Movement post Disembarkation","TRAVEL_ADVISORY","TRAVEL_ADVISORY",8
2020-03-19,"AWARENESS"," Posters for Indians traveling from abroad - English.pdf",1," Posters for Indians traveling from abroad - English","AWARENESS","AWARENESS",8
2020-03-19,"AWARENESS"," Posters for Indians traveling from abroad - Hindi.pdf",2," Posters for Indians traveling from abroad - Hindi","AWARENESS","AWARENESS",8
2020-03-19,"OFFICIAL"," Advisory from Department of Sports for Sports Organizations.pdf",1," Advisory from Department of Sports for Sports Organizations","OFFICIAL","OFFICIAL",8
2020-03-19,"OFFICIAL"," DOPT OM - Preventive measures to contain the spread of COVID-19 in Training Institutes.pdf",2," DOPT OM - Preventive measures to contain the spread of COVID-19 in Training Institutes","OFFICIAL","OFFICIAL",14
2020-03-19,"TRAVEL_ADVISORY"," Additional Travel Advisory.pdf",1," Additional Travel Advisory","TRAVEL_ADVISORY","TRAVEL_ADVISORY",3
2020-03-20,"OFFICIAL"," Instructions to all major and minor ports for dealing with(COVID-19).pdf",1," Instructions to all major and minor ports for dealing with(COVID-19)","OFFICIAL","OFFICIAL",10
2020-03-20,"OFFICIAL"," Letter from Secretary, Dept of Higher Education or School Education regarding Digital or e-Learning.pdf",2," Letter from Secretary, Dept of Higher Education or School Education regarding Digital or e-Learning","OFFICIAL","OFFICIAL",14
2020-03-20,"OFFICIAL"," SOP for Mock Drill on 22nd March 2020 for Hospital Preparedness.pdf",3," SOP for Mock Drill on 22nd March 2020 for Hospital Preparedness","OFFICIAL","OFFICIAL",11
2020-03-20,"TRAVEL_ADVISORY"," Instructions to all major and minor ports for dealing with(COVID-19).pdf",1," Instructions to all major and minor ports for dealing with(COVID-19)","TRAVEL_ADVISORY","TRAVEL_ADVISORY",10
2020-03-21,"OFFICIAL"," Revised Guidelines or Strategy for COVID-19 testing by Indian Council of Medical Research (ICMR).pdf",1," Revised Guidelines or Strategy for COVID-19 testing by Indian Council of Medical Research (ICMR)","OFFICIAL","OFFICIAL",14
2020-03-22,"AWARENESS"," KIDS, VAAYU & CORONA- Comic book for children to provide correct information about COVID-19 - Part 2.pdf",1," KIDS, VAAYU & CORONA- Comic book for children to provide correct information about COVID-19 - Part 2","AWARENESS","AWARENESS",17
2020-03-22,"OFFICIAL"," D.O. Letter from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 22.03.2020.pdf",1," D.O. Letter from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 22.03.2020","OFFICIAL","OFFICIAL",16
2020-03-23,"AWARENESS"," Posters for Safety measures against COVID -19- English.pdf",1," Posters for Safety measures against COVID -19- English","AWARENESS","AWARENESS",8
2020-03-23,"AWARENESS"," Posters for Safety measures against COVID -19- Hindi.pdf",2," Posters for Safety measures against COVID -19- Hindi","AWARENESS","AWARENESS",8
2020-03-23,"OFFICIAL"," D.O. Letter from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 23.03.2020.pdf",1," D.O. Letter from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 23.03.2020","OFFICIAL","OFFICIAL",16
2020-03-23,"OFFICIAL"," Letter from Ministry of Home Affairs - Restrictions on international passenger traffic through Authorized Immigration Check Posts in view of the COVID-19.pdf",2," Letter from Ministry of Home Affairs - Restrictions on international passenger traffic through Authorized Immigration Check Posts in view of the COVID-19","OFFICIAL","OFFICIAL",22
2020-03-23,"OFFICIAL"," Office Order from Ministry of Shipping - State Government or Union Territories have issued prohibitory orders, Imposing restrictions on non-essential services in view of the COVID-19.pdf",3," Office Order from Ministry of Shipping - State Government or Union Territories have issued prohibitory orders, Imposing restrictions on non-essential services in view of the COVID-19","OFFICIAL","OFFICIAL",26
2020-03-24,"OFFICIAL"," Annexure to Ministry of Home Affairs Order No. 40-3,2020-D Dated 24-3-2020..pdf",1," Annexure to Ministry of Home Affairs Order No. 40-3,2020-D Dated 24-3-2020.","OFFICIAL","OFFICIAL",11
2020-03-24,"OFFICIAL"," D.O. Letter 2 from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 24.03.2020.pdf",2," D.O. Letter 2 from Cabinet Secretary to Chief Secretaries for management and containment of COVID-19 dated 24.03.2020","OFFICIAL","OFFICIAL",17
